Sell-to Customer No.,Location Code,OrderDate,Code,UOM,Case QTY,Line No.,External Document no.
KARLS049,CW01,23-07-2026,CE0040500SP,CAR,5,10000,5114508894
KARLS049,CW01,23-07-2026,CE0020150,CAR,1,20000,5114508894
